16,    -96,   1039
0,    -80,   1055
0,    -64,   1039
0,    -48,   1055
16,    -32,   1071
16,    -32,   1071
16,    -32,   1087
16,    -48,   1087
16,    -64,   1087
0,    -48,   1071
-16,    -33,   1071
-16,    -17,   1055
-16,    -17,   1055
0,    -48,   1071
0,    -48,   1071
0,    -48,   1039
16,    -48,   1055
16,    -64,   1055
0,    -64,   1055
0,    -48,   1055
0,    -32,   1071
16,    -32,   1055
32,    -32,   1071
48,    -48,   1055
48,    -64,   1055
32,    -80,   1055
16,    -80,   1039
0,    -64,   1039
0,    -64,   1039
0,    -64,   1055
0,    -64,   1055
-16,    -49,   1023
-16,    -33,   1039
0,    -32,   1071
-16,    -17,   1087
-16,     -1,   1087
-16,    -17,   1071
-16,    -17,   1071
0,    -32,   1071
16,    -32,   1055
16,    -48,   1055
16,    -64,   1055
32,    -80,   1055
16,    -64,   1055
16,    -48,   1055
0,    -32,   1039
16,    -16,   1039
48,    -16,   1071
64,    -16,   1087
64,    -16,   1071
64,    -32,   1055
48,    -32,   1055
32,    -48,   1055
32,    -64,   1055
48,    -80,   1055
32,    -96,   1055
16,    -96,   1055
-16,    -49,   1055
-64,    -33,   1055
-80,    -17,   1055
-48,     -1,   1039
-16,     -1,   1055
0,    -48,   1087
16,    -64,   1103
32,    -64,   1103
32,    -64,   1071
16,    -48,   1055
16,    -48,   1071
16,    -64,   1055
32,    -64,   1023
32,    -80,   1039
32,    -80,   1039
16,    -80,   1055
16,    -64,   1071
16,    -48,   1071
32,    -32,   1071
48,    -32,   1055
48,    -32,   1055
48,    -32,   1055
32,    -32,   1055
16,    -32,   1055
16,    -32,   1039
16,    -48,   1055
16,    -48,   1055
0,    -48,   1055
-16,    -33,   1055
-16,    -17,   1039
0,    -16,   1055
0,    -16,   1071
0,    -32,   1087
0,    -48,   1087
16,    -32,   1071
16,    -32,   1055
16,    -32,   1039
16,    -48,   1039
0,    -64,   1055
16,    -64,   1055
16,    -64,   1039
0,    -64,   1055
16,    -64,   1055
16,    -48,   1055
16,    -48,   1055
16,    -48,   1071
16,    -48,   1087
0,    -32,   1071
0,    -32,   1071
0,    -32,   1071
0,    -48,   1055
16,    -64,   1071
32,    -80,   1071
32,    -80,   1071
48,    -64,   1055
32,    -48,   1071
32,    -32,   1071
16,    -32,   1039
16,    -32,   1055
0,    -32,   1055
0,    -32,   1055
-16,    -17,   1071
-16,    -33,   1071
16,    -64,   1055
48,    -80,   1055
64,    -96,   1055
64,    -96,   1055
64,    -96,   1039
48,    -96,   1039
16,    -80,   1055
0,    -64,   1055
0,    -64,   1055
0,    -64,   1055
-16,    -33,   1055
-16,    -17,   1087
-16,    -33,   1071
-16,    -17,   1071
0,    -48,   1071
-16,    -49,   1087
-16,    -49,   1071
0,    -64,   1055
16,    -64,   1039
32,    -80,   1039
32,    -64,   1039
32,    -80,   1055
0,    -80,   1055
0,    -80,   1055
-16,    -65,   1071
0,    -64,   1071
32,    -48,   1055
48,    -32,   1071
48,    -48,   1071
48,    -48,   1055
48,    -48,   1055
32,    -48,   1071
32,    -64,   1055
16,    -64,   1055
16,    -64,   1055
-16,    -49,   1055
-16,    -49,   1039
0,    -48,   1039
16,    -32,   1071
16,    -32,   1087
32,    -32,   1087
32,    -32,   1071
16,    -32,   1055
16,    -32,   1071
16,    -32,   1071
0,    -32,   1055
16,    -16,   1039
32,    -32,   1055
64,    -48,   1055
96,    -48,   1055
80,    -64,   1055
48,    -80,   1055
32,    -64,   1071
32,    -32,   1087
48,    -16,   1055
48,    -16,   1039
32,    -16,   1039
16,    -48,   1055
-16,    -49,   1039
-32,    -65,   1039
-48,    -81,   1023
-48,    -49,   1055
-32,    -33,   1071
0,    -48,   1071
16,    -48,   1087
32,    -48,   1071
32,    -48,   1071
32,    -48,   1071
16,    -32,   1055
16,    -32,   1055
16,    -32,   1039
0,    -16,   1071
-32,    -17,   1087
-16,    -33,   1055
0,    -48,   1023
0,    -48,   1007
16,    -64,   1039
32,    -64,   1087
96,    -80,   1103
112,    -64,   1071
80,    -64,   1055
48,    -48,   1055
32,    -48,   1055
16,    -48,   1055
0,    -48,   1055
0,    -64,   1039
-16,    -65,   1055
-16,    -65,   1055
-16,    -65,   1055
0,    -64,   1055
16,    -48,   1071
16,    -48,   1071
0,    -64,   1087
0,    -48,   1087
0,    -48,   1055
0,    -64,   1055
16,    -80,   1071
16,    -64,   1055
32,    -64,   1055
48,    -64,   1055
64,    -64,   1055
64,    -96,   1071
48,    -80,   1071
48,    -64,   1071
48,    -48,   1071
48,    -48,   1055
48,    -64,   1055
16,    -64,   1071
16,    -64,   1087
16,    -48,   1039
16,    -48,   1023
16,    -64,   1055
-16,    -49,   1071
-32,    -49,   1055
-16,    -17,   1071
16,    -16,   1055
16,    -16,   1055
16,    -48,   1071
16,    -96,   1055
16,   -128,   1071
32,   -112,   1055
48,    -80,   1039
48,    -32,   1055
48,      0,   1040
32,     32,   1040
16,     32,   1040
16,      0,   1040
16,    -32,   1055
16,    -64,   1039
16,    -80,   1055
16,    -64,   1055
32,    -48,   1071
48,    -16,   1055
48,    -32,   1055
48,    -32,   1039
32,    -64,   1039
32,    -80,   1071
32,    -80,   1055
16,    -80,   1055
0,    -64,   1055
-32,    -49,   1039
-32,    -65,   1039
-32,    -81,   1039
-32,    -81,   1071
0,    -80,   1055
32,    -80,   1071
64,    -80,   1087
64,    -64,   1087
48,    -64,   1071
32,    -64,   1071
16,    -48,   1055
0,    -48,   1055
0,    -64,   1039
16,    -80,   1039
32,    -96,   1039
16,    -96,   1039
32,    -96,   1039
32,    -80,   1055
32,    -64,   1055
16,    -64,   1071
32,    -48,   1055
32,    -48,   1071
32,    -32,   1071
16,    -32,   1055
16,    -48,   1055
16,    -64,   1055
32,    -80,   1071
32,    -80,   1055
16,    -80,   1071
16,    -64,   1055
0,    -64,   1055
0,    -64,   1039
0,    -48,   1055
16,    -32,   1055
0,    -32,   1055
0,    -32,   1071
0,    -32,   1055
16,    -48,   1039
16,    -64,   1071
32,    -80,   1071
48,    -64,   1071
48,    -48,   1071
48,    -32,   1039
32,    -32,   1055
32,    -16,   1055
16,      0,   1024
0,      0,   1024
0,      0,   1024
0,    -16,   1055
16,    -32,   1055
32,    -48,   1087
32,    -48,   1071
32,    -32,   1055
32,    -32,   1055
32,    -32,   1055
32,    -32,   1055
48,    -48,   1071
48,    -48,   1071
48,    -48,   1071
32,    -48,   1055
0,    -48,   1071
-16,    -33,   1055
-32,    -33,   1055
-48,    -33,   1039
-32,    -33,   1055
0,    -64,   1071
0,    -80,   1071
16,    -80,   1071
32,    -80,   1055
48,    -80,   1055
48,    -64,   1071
32,    -64,   1071
16,    -48,   1071
0,    -48,   1071
-16,    -33,   1071
0,    -32,   1055
32,    -48,   1055
48,    -64,   1055
48,    -64,   1055
48,    -80,   1055
48,    -64,   1039
32,    -64,   1055
16,    -48,   1071
0,    -32,   1087
0,    -16,   1071
0,    -16,   1055
32,    -64,   1055
32,    -64,   1055
32,    -80,   1055
48,    -96,   1071
64,   -112,   1071
48,    -96,   1055
16,    -80,   1055
16,    -64,   1039
0,    -64,   1039
-16,    -49,   1055
0,    -80,   1055
16,    -64,   1071
16,    -64,   1087
32,    -64,   1087
48,    -48,   1071
32,    -48,   1071
32,    -64,   1055
32,    -64,   1055
16,    -80,   1055
16,    -80,   1055
-16,    -65,   1055
-16,    -65,   1055
-16,    -49,   1039
-16,    -49,   1039
0,    -64,   1055
16,    -64,   1055
16,    -64,   1055
32,    -64,   1071
16,    -48,   1071
0,    -32,   1055
0,    -16,   1055
0,    -16,   1055
0,    -32,   1071
16,    -48,   1071
16,    -64,   1071
16,    -80,   1071
16,    -80,   1055
0,    -96,   1055
0,    -96,   1039
16,    -96,   1039
32,   -112,   1039
48,   -112,   1039
48,   -112,   1055
48,   -112,   1039
48,    -96,   1039
0,    -80,   1071
-32,    -65,   1071
-48,    -65,   1055
-48,    -49,   1055
-48,    -17,   1071
-32,     -1,   1055
-16,    -17,   1071
0,    -64,   1087
0,    -80,   1071
0,    -96,   1071
16,   -112,   1055
32,    -96,   1055
32,    -96,   1055
32,    -64,   1055
16,    -48,   1055
0,    -32,   1071
0,    -32,   1055
0,    -48,   1055
0,    -48,   1039
0,    -64,   1039
16,    -64,   1055
16,    -64,   1087
0,    -48,   1071
0,    -32,   1055
0,    -16,   1055
16,    -32,   1055
16,    -32,   1055
48,    -48,   1071
48,    -64,   1071
48,    -80,   1055
32,    -80,   1039
32,    -64,   1055
32,    -48,   1055
32,    -48,   1055
32,    -48,   1039
32,    -48,   1055
16,    -48,   1071
16,    -16,   1071
16,      0,   1072
16,      0,   1072
16,      0,   1056
16,    -16,   1071
32,    -16,   1055
16,    -32,   1055
0,    -48,   1055
0,    -48,   1055
-16,    -33,   1055
-32,    -17,   1071
-32,    -17,   1071
0,    -32,   1055
48,    -32,   1055
48,    -48,   1039
32,    -64,   1039
32,    -48,   1071
48,    -32,   1087
64,      0,   1056
64,    -16,   1055
48,    -32,   1007
0,    -80,   1039
0,    -96,   1055
16,    -96,   1055
32,    -96,   1055
32,    -96,   1055
48,    -64,   1071
64,    -48,   1055
64,    -16,   1055
48,    -16,   1023
16,      0,   1040
-16,     15,   1056
-32,     15,   1056
0,      0,   1056
16,    -32,   1071
32,    -48,   1071
32,    -48,   1039
16,    -32,   1055
0,    -48,   1055
-32,    -17,   1071
-16,    -17,   1055
0,    -32,   1055
0,    -48,   1055
16,    -64,   1055
16,    -80,   1039
32,    -80,   1039
32,    -64,   1055
32,    -48,   1055
32,    -32,   1055
32,    -16,   1055
32,    -16,   1055
32,    -16,   1055
32,    -32,   1055
16,    -64,   1055
16,    -64,   1055
16,    -64,   1071
16,    -80,   1071
16,    -80,   1071
16,    -64,   1055
0,    -32,   1055
0,    -32,   1055
0,    -32,   1039
0,    -32,   1055
0,    -32,   1071
32,    -48,   1071
32,    -48,   1071
32,    -48,   1071
32,    -32,   1039
16,    -16,   1071
16,    -16,   1055
0,    -32,   1039
-16,    -17,   1055
-16,    -33,   1071
-16,    -17,   1071
0,    -32,   1071
16,    -16,   1055
32,    -32,   1039
32,    -48,   1055
32,    -64,   1071
32,    -64,   1071
32,    -64,   1071
32,    -32,   1071
32,    -32,   1055
32,    -32,   1039
32,    -48,   1055
16,    -64,   1055
16,    -80,   1055
32,    -80,   1039
32,    -80,   1071
16,    -80,   1055
-16,    -49,   1055
-32,    -33,   1055
-16,    -33,   1039
-16,    -33,   1071
-16,    -33,   1071
0,    -48,   1071
0,    -48,   1071
0,    -48,   1071
16,    -32,   1039
0,    -32,   1071
-16,    -17,   1087
-16,    -17,   1071
0,    -32,   1071
16,    -32,   1071
32,    -32,   1055
32,    -48,   1055
48,    -48,   1039
48,    -64,   1039
32,    -64,   1087
0,    -48,   1103
0,    -16,   1055
0,    -16,   1023
0,    -32,   1023
0,    -80,   1055
16,    -96,   1071
48,    -96,   1087
32,    -80,   1071
16,    -48,   1055
0,    -32,   1055
0,    -16,   1055
0,      0,   1024
0,      0,   1056
16,      0,   1056
32,    -16,   1071
32,    -16,   1071
48,    -32,   1071
48,    -32,   1071
32,    -16,   1055
48,    -16,   1055
64,      0,   1024
64,      0,   1040
48,      0,   1056
48,      0,   1056
48,     16,   1040
48,      0,   1040
48,     16,   1040
48,     16,   1056
32,     32,   1056
16,     48,   1024
0,     48,   1008
16,     32,   1024
16,      0,   1040
16,    -32,   1071
16,    -48,   1071
32,    -48,   1055
32,    -48,   1039
32,    -32,   1039
32,    -16,   1039
32,    -16,   1055
48,    -16,   1039
64,      0,   1040
64,      0,   1040
64,      0,   1056
64,      0,   1056
64,      0,   1040
48,      0,   1056
32,      0,   1056
32,      0,   1024
16,    -16,   1039
32,    -32,   1055
48,    -48,   1055
48,    -48,   1055
64,    -48,   1055
64,    -48,   1039
96,    -32,   1039
112,    -32,   1055
96,    -32,   1055
80,    -32,   1055
64,    -32,   1055
48,    -48,   1055
32,    -64,   1055
32,    -48,   1055
32,    -48,   1055
32,    -48,   1055
32,    -48,   1055
48,    -48,   1055
32,    -48,   1055
32,    -48,   1055
16,    -32,   1071
0,    -32,   1071
-16,     -1,   1087
-32,     15,   1056
-32,     -1,   1055
-16,    -17,   1055
-16,    -49,   1055
0,    -96,   1055
0,    -96,   1055
0,    -80,   1055
16,    -80,   1071
0,    -64,   1071
0,    -64,   1055
16,    -64,   1055
16,    -80,   1055
32,    -80,   1055
16,    -80,   1055
16,    -64,   1055
0,    -64,   1055
0,    -64,   1071
0,    -64,   1055
16,    -64,   1055
16,    -64,   1071
16,    -80,   1055
0,    -64,   1039
0,    -48,   1023
-16,     -1,   1023
-16,     15,   1040
0,      0,   1056
-16,     31,   1072
-16,     31,   1072
0,      0,   1056
16,      0,   1056
0,    -16,   1055
0,      0,   1040
-16,     15,   1040
-16,     -1,   1039
16,    -16,   1055
32,    -16,   1071
32,    -16,   1071
32,    -16,   1055
32,      0,   1040
0,      0,   1040
-16,     15,   1040
-16,     -1,   1055
0,    -32,   1055
0,    -48,   1055
0,    -48,   1039
-16,    -49,   1039
-16,    -65,   1055
-16,    -65,   1055
-16,    -49,   1071
-16,    -33,   1071
0,    -48,   1071
0,    -32,   1071
-16,     15,   1040
-16,     31,   1040
-32,     31,   1040
-32,     47,   1040
-32,     63,   1024
-48,     63,   1024
-48,     63,   1024
-64,     47,   1024
-48,     47,   1024
-32,     47,   1008
-16,     47,   1008
-16,     47,   1008
-16,     47,   1024
-32,     31,   1056
-16,     31,   1072
16,      0,   1072
16,    -16,   1087
0,    -32,   1071
0,    -32,   1055
0,    -32,   1055
0,    -32,   1039
0,    -32,   1055
0,    -48,   1055
16,    -48,   1055
16,    -48,   1071
16,    -32,   1071
32,    -32,   1071
32,    -32,   1055
32,    -16,   1055
32,    -32,   1055
32,    -48,   1055
32,    -64,   1055
16,    -80,   1055
16,    -96,   1055
16,    -96,   1055
16,   -112,   1055
16,   -112,   1055
16,   -128,   1055
16,   -112,   1055
32,   -112,   1055
32,   -112,   1055
32,    -96,   1055
32,    -96,   1055
32,    -96,   1055
32,    -80,   1055
32,    -80,   1071
32,    -64,   1071
32,    -64,   1071
32,    -48,   1071
32,    -48,   1071
16,    -48,   1071
0,    -48,   1071
-16,    -33,   1055
-16,    -17,   1055
-16,     -1,   1055
-16,     15,   1040
0,      0,   1040
-16,     31,   1040
-16,     31,   1040
-16,     31,   1024
-16,     15,   1024
-32,     15,   1024
-32,     15,   1040
-16,     -1,   1055
-16,     15,   1040
-16,     15,   1056
-16,     15,   1056
-16,     -1,   1039
-16,     -1,   1039
-16,     -1,   1039
-16,     -1,   1055
0,    -16,   1071
-16,     -1,   1071
-16,     -1,   1071
0,    -16,   1055
0,    -32,   1055
0,    -32,   1055
-16,    -33,   1071
-16,    -17,   1055
0,    -32,   1055
0,    -16,   1055
0,    -16,   1055
0,    -16,   1055
0,    -16,   1055
0,    -16,   1039
-16,     -1,   1055
-16,     -1,   1055
0,    -32,   1055
0,    -32,   1055
-32,     -1,   1055
-32,     -1,   1055
64,    -48,   1055
48,    -48,   1039
32,    -32,   1055
16,    -32,   1055
16,    -32,   1071
16,    -32,   1071
16,    -48,   1055
16,    -48,   1055
0,    -48,   1071
0,    -48,   1055
0,    -32,   1055
16,    -32,   1055
16,    -32,   1071
16,    -32,   1055
16,    -32,   1055
16,    -32,   1055
0,    -32,   1055
16,    -32,   1055
16,    -48,   1055
16,    -48,   1071
16,    -32,   1071
-192,   -209,   1071
-112,   -113,   1071
80,      0,   1040
160,      0,   1040
96,    -16,   1055
64,    -32,   1071
48,    -32,   1055
32,    -48,   1055
48,    -48,   1071
32,    -48,   1071
32,    -48,   1087
32,    -48,   1071
32,    -48,   1055
32,    -32,   1055
32,    -32,   1039
16,    -48,   1055
32,    -32,   1055
32,    -32,   1055
16,    -32,   1055
16,    -32,   1055
16,    -48,   1055
16,    -32,   1055
16,    -32,   1055
16,    -32,   1055
32,    -32,   1055
16,    -48,   1071
32,    -48,   1087
32,    -48,   1071
-32,     47,   1040
-32,     63,   1024
-48,     63,   1024
-48,     63,   1024
-64,     47,   1024
-48,     47,   1024
-32,     47,   1008
-16,     47,   1008
-16,     47,   1008
-16,     47,   1024
-32,     31,   1056
-16,     31,   1072
16,      0,   1072
16,    -16,   1087
0,    -32,   1071
