16,    -96,   1087
16,    -96,   1087
48,   -112,   1071
64,   -128,   1055
64,   -112,   1039
48,    -96,   1023
32,    -96,   1039
0,   -112,   1055
0,   -128,   1071
16,   -128,   1071
32,   -112,   1071
32,   -112,   1055
32,    -80,   1039
32,    -80,   1039
16,    -96,   1039
16,   -112,   1055
0,   -112,   1071
0,   -112,   1087
16,   -128,   1055
64,   -128,   1039
80,   -128,   1039
48,   -112,   1055
32,   -112,   1055
16,   -112,   1055
16,   -112,   1055
32,   -112,   1055
32,   -112,   1071
32,    -96,   1071
32,    -80,   1055
16,    -64,   1039
16,    -64,   1039
16,    -80,   1039
0,    -80,   1055
-16,    -81,   1087
0,   -112,   1087
32,   -112,   1071
64,    -96,   1039
64,    -64,   1039
48,    -64,   1039
16,    -80,   1055
16,    -80,   1071
16,    -96,   1071
16,    -96,   1055
16,    -96,   1055
16,    -96,   1055
32,    -80,   1055
16,    -80,   1039
0,    -80,   1039
-16,    -65,   1055
-32,    -81,   1071
-16,    -97,   1103
16,   -112,   1087
48,   -112,   1055
64,   -112,   1023
64,    -96,   1039
48,    -80,   1039
32,    -96,   1039
0,   -112,   1055
0,   -112,   1071
16,   -112,   1071
32,   -112,   1055
32,   -112,   1055
16,    -96,   1055
0,    -80,   1039
0,    -80,   1039
0,    -96,   1039
-16,   -113,   1055
-16,   -129,   1071
16,   -128,   1087
16,   -112,   1055
16,    -80,   1039
16,    -80,   1055
32,    -80,   1055
32,    -96,   1071
48,    -96,   1071
32,    -80,   1055
16,    -80,   1055
16,    -80,   1055
16,    -64,   1039
0,    -64,   1039
0,    -64,   1055
-16,    -65,   1071
-48,    -81,   1087
-64,    -81,   1071
-32,    -97,   1071
16,   -144,   1071
48,   -112,   1055
48,    -96,   1039
16,    -96,   1039
0,    -80,   1055
0,    -96,   1103
16,   -112,   1103
48,    -96,   1071
48,    -96,   1055
48,    -96,   1039
32,    -80,   1039
16,    -96,   1039
16,   -128,   1023
0,   -160,   1039
-16,   -161,   1055
-32,   -161,   1071
0,   -192,   1071
48,   -192,   1039
80,   -176,   1039
80,   -144,   1039
80,   -112,   1039
64,   -112,   1039
48,   -112,   1055
0,   -112,   1071
16,   -112,   1071
32,    -96,   1071
48,    -96,   1071
48,    -64,   1039
32,    -48,   1023
16,    -64,   1023
-16,    -81,   1071
0,   -112,   1103
32,   -128,   1103
64,   -112,   1071
80,    -96,   1039
80,    -80,   1023
64,    -80,   1039
32,    -80,   1055
0,    -96,   1039
-16,    -81,   1071
0,    -80,   1071
32,    -80,   1071
32,    -64,   1055
32,    -48,   1055
16,    -32,   1055
16,    -16,   1039
0,    -32,   1055
0,    -48,   1071
0,    -80,   1103
16,    -80,   1103
32,    -64,   1071
48,    -64,   1055
32,    -48,   1039
32,    -64,   1039
16,    -80,   1071
0,    -80,   1087
16,    -80,   1055
16,    -80,   1039
16,    -80,   1055
16,    -64,   1055
16,    -48,   1039
0,    -64,   1023
-16,    -65,   1055
-16,    -81,   1071
-16,    -81,   1087
0,    -80,   1087
16,    -64,   1071
32,    -64,   1071
48,    -48,   1055
32,    -64,   1039
0,    -48,   1039
-32,    -33,   1055
-48,    -49,   1071
-16,    -65,   1103
0,    -80,   1087
32,    -64,   1071
32,    -48,   1055
16,    -16,   1039
-32,     -1,   1055
-32,    -49,   1071
-16,    -81,   1071
0,   -112,   1071
16,    -96,   1055
16,    -96,   1039
32,    -96,   1039
32,    -96,   1055
32,    -96,   1055
16,   -112,   1039
0,    -96,   1055
-32,    -65,   1055
-80,    -49,   1071
-32,    -65,   1055
48,   -112,   1039
64,   -112,   1039
48,    -80,   1055
32,    -64,   1071
0,    -64,   1087
0,    -80,   1087
32,    -80,   1071
64,    -80,   1055
96,    -96,   1055
96,    -96,   1039
64,    -64,   1055
32,    -48,   1055
16,    -48,   1039
0,    -64,   1055
32,    -64,   1071
32,    -48,   1071
32,    -32,   1071
16,    -32,   1039
32,    -48,   1055
32,    -48,   1055
16,    -64,   1055
16,    -64,   1071
16,    -64,   1071
32,    -80,   1087
64,    -64,   1071
80,    -64,   1055
64,    -32,   1055
48,    -48,   1039
32,    -32,   1055
32,    -48,   1071
16,    -64,   1071
32,    -64,   1071
32,    -64,   1055
32,    -32,   1039
32,    -48,   1055
16,    -48,   1055
16,    -32,   1055
16,    -48,   1071
0,    -48,   1087
16,    -64,   1087
32,    -64,   1071
48,    -48,   1055
48,    -32,   1055
32,    -48,   1055
16,    -48,   1071
16,    -64,   1071
32,    -64,   1071
32,    -64,   1071
32,    -64,   1055
16,    -48,   1039
16,    -64,   1039
16,    -80,   1071
0,    -96,   1103
-16,    -97,   1103
16,    -96,   1055
32,    -96,   1023
64,   -112,   1023
64,   -112,   1023
48,    -96,   1071
32,    -96,   1071
32,    -96,   1055
48,    -80,   1055
48,    -64,   1055
48,    -64,   1055
48,    -64,   1071
48,    -64,   1055
48,    -64,   1055
48,    -80,   1055
32,    -80,   1039
16,    -80,   1055
0,    -80,   1087
16,    -96,   1087
48,    -96,   1071
64,    -80,   1055
64,    -64,   1055
64,    -48,   1055
32,    -48,   1055
16,    -48,   1071
32,    -64,   1087
48,    -64,   1071
48,    -48,   1055
48,    -48,   1039
64,    -32,   1039
64,    -32,   1055
48,    -32,   1071
32,    -48,   1071
16,    -64,   1071
32,    -80,   1071
48,    -80,   1071
48,    -64,   1055
32,    -48,   1039
32,    -48,   1023
32,    -48,   1039
32,    -64,   1071
32,    -80,   1103
32,    -80,   1103
16,    -48,   1071
16,    -32,   1023
48,    -32,   1023
80,    -64,   1039
80,    -80,   1055
32,    -80,   1087
0,    -96,   1071
0,   -112,   1055
32,    -96,   1055
48,    -96,   1055
64,    -80,   1055
64,    -80,   1071
48,    -64,   1071
48,    -80,   1055
32,    -80,   1039
48,    -80,   1055
48,    -80,   1071
32,    -96,   1071
32,    -80,   1039
16,    -80,   1039
16,    -80,   1039
16,    -96,   1071
32,   -112,   1103
48,   -112,   1087
64,    -96,   1071
80,    -96,   1055
80,    -80,   1023
64,    -64,   1039
64,    -80,   1039
32,    -80,   1071
32,    -80,   1071
32,    -96,   1071
48,    -80,   1071
32,    -64,   1071
32,    -48,   1039
48,    -48,   1007
32,    -32,   1023
16,    -64,   1055
0,    -96,   1087
0,    -96,   1119
32,    -80,   1103
48,    -64,   1055
64,    -32,   1023
48,    -32,   1039
32,    -48,   1055
32,    -64,   1071
16,    -80,   1087
16,    -80,   1071
32,    -80,   1055
32,    -48,   1039
32,    -48,   1039
16,    -48,   1039
0,    -64,   1039
0,    -96,   1071
0,   -112,   1087
-16,   -113,   1087
0,   -112,   1071
32,    -80,   1055
48,    -80,   1039
64,    -80,   1055
64,    -80,   1055
48,    -80,   1055
48,    -80,   1055
32,    -80,   1055
32,    -64,   1039
16,    -64,   1039
16,    -64,   1039
0,    -48,   1055
0,    -48,   1087
0,    -48,   1103
16,    -48,   1087
32,    -64,   1071
64,    -64,   1055
80,    -64,   1055
64,    -64,   1039
32,    -64,   1039
0,    -80,   1055
-16,    -65,   1071
0,    -80,   1071
16,    -96,   1055
32,    -80,   1055
32,    -48,   1055
16,    -32,   1039
0,    -16,   1039
-16,    -17,   1071
-16,    -49,   1103
0,    -80,   1103
48,    -80,   1071
80,    -96,   1055
64,    -80,   1039
48,    -64,   1023
32,    -64,   1039
16,    -96,   1055
0,   -112,   1071
16,   -112,   1071
32,   -112,   1039
32,   -112,   1039
48,    -96,   1039
16,    -80,   1055
0,    -80,   1071
0,    -80,   1071
16,    -80,   1071
32,    -96,   1039
80,    -96,   1055
96,   -112,   1055
96,    -96,   1055
80,    -64,   1039
48,    -64,   1039
32,    -64,   1039
0,    -80,   1055
16,    -80,   1055
32,    -96,   1071
32,    -96,   1071
32,    -80,   1071
16,    -80,   1055
16,    -80,   1039
16,    -80,   1055
0,    -80,   1071
0,    -96,   1071
16,   -112,   1087
48,   -112,   1071
48,   -112,   1071
32,    -96,   1071
16,    -96,   1055
0,    -80,   1039
-16,    -65,   1055
-16,    -81,   1055
-16,    -81,   1055
0,    -96,   1055
0,    -80,   1071
16,    -80,   1055
0,    -64,   1039
-16,    -33,   1055
-32,    -49,   1087
-32,    -65,   1103
-16,    -81,   1071
0,   -128,   1039
0,   -128,   1055
32,   -112,   1071
32,   -112,   1055
16,    -96,   1055
-16,    -81,   1055
-32,    -81,   1071
-16,    -81,   1055
-16,    -81,   1039
-16,    -81,   1055
0,   -112,   1055
16,   -112,   1087
0,   -112,   1071
-32,    -81,   1039
-32,    -81,   1055
-16,    -81,   1071
16,   -112,   1071
32,   -128,   1055
16,   -112,   1039
16,   -112,   1039
16,    -96,   1055
16,    -96,   1055
32,    -96,   1023
32,    -96,   1039
16,    -96,   1071
0,    -96,   1087
0,    -80,   1071
-32,    -65,   1055
-32,    -81,   1055
-32,    -81,   1055
-32,    -97,   1055
-16,    -97,   1055
-16,    -97,   1055
16,   -112,   1055
16,   -128,   1055
48,   -128,   1055
64,   -112,   1055
48,    -80,   1055
32,    -64,   1055
-16,    -33,   1055
-16,    -49,   1055
-16,    -49,   1071
0,    -80,   1071
16,    -96,   1071
32,    -80,   1055
16,    -64,   1039
16,    -64,   1055
16,    -80,   1039
16,    -96,   1055
-16,    -81,   1087
-16,    -81,   1071
16,   -112,   1055
48,   -112,   1055
48,   -112,   1055
48,    -96,   1055
32,    -80,   1039
16,    -80,   1039
-16,    -65,   1071
16,    -80,   1071
32,    -96,   1071
32,    -96,   1071
32,    -96,   1071
16,    -80,   1071
16,    -80,   1039
32,    -80,   1023
16,    -80,   1023
0,    -96,   1055
0,   -128,   1103
16,   -144,   1071
48,   -144,   1039
48,   -128,   1023
32,   -112,   1039
16,   -112,   1071
16,   -112,   1071
32,   -112,   1055
32,   -112,   1055
48,    -96,   1055
32,    -80,   1055
16,    -80,   1055
16,    -64,   1055
16,    -80,   1055
16,    -80,   1071
-16,    -65,   1071
-16,    -81,   1071
16,    -96,   1071
48,   -112,   1071
80,   -112,   1055
64,    -96,   1055
48,    -80,   1039
16,    -80,   1055
0,    -80,   1055
0,    -80,   1055
32,    -80,   1055
32,    -80,   1087
16,    -64,   1071
0,    -64,   1055
0,    -64,   1055
16,    -64,   1039
16,    -80,   1055
0,    -80,   1055
0,    -96,   1071
16,   -128,   1071
64,   -128,   1071
80,   -128,   1055
64,   -112,   1039
48,    -80,   1055
16,    -80,   1055
0,    -64,   1055
16,    -64,   1055
32,    -80,   1071
32,    -80,   1071
32,    -80,   1055
16,    -80,   1055
16,    -64,   1055
16,    -80,   1055
16,    -80,   1039
0,    -96,   1039
0,   -112,   1055
16,   -112,   1087
16,    -96,   1087
16,    -96,   1071
48,    -64,   1071
48,    -64,   1055
32,    -64,   1039
16,    -80,   1055
16,    -96,   1055
16,    -80,   1071
16,    -80,   1055
16,    -64,   1055
16,    -64,   1055
16,    -48,   1071
0,    -48,   1055
-16,    -49,   1071
0,    -80,   1087
16,   -112,   1087
48,   -112,   1071
64,    -96,   1055
64,    -80,   1039
48,    -80,   1039
32,    -96,   1039
16,    -96,   1055
0,    -96,   1055
16,    -96,   1055
16,    -80,   1055
32,    -80,   1071
32,    -80,   1071
16,    -80,   1055
0,    -80,   1055
-16,    -65,   1071
-16,    -81,   1055
32,   -144,   1055
32,   -144,   1087
48,   -128,   1071
48,   -112,   1039
16,    -96,   1039
16,    -96,   1039
32,    -96,   1055
48,    -96,   1071
64,    -80,   1055
64,    -80,   1055
64,    -64,   1039
48,    -64,   1039
32,    -80,   1055
32,    -96,   1055
16,   -112,   1055
-16,    -97,   1055
-32,    -97,   1055
-16,    -97,   1071
16,   -112,   1071
64,   -128,   1071
80,   -128,   1055
80,    -96,   1039
64,    -96,   1039
32,    -80,   1055
32,    -96,   1055
16,    -96,   1055
0,    -80,   1071
0,    -80,   1055
0,    -80,   1055
0,    -64,   1055
-16,    -49,   1055
0,    -80,   1055
0,    -80,   1071
16,    -64,   1087
16,    -80,   1103
32,    -96,   1087
64,    -80,   1055
80,    -80,   1023
64,    -80,   1007
64,    -96,   1039
32,   -112,   1055
16,    -96,   1055
-16,    -65,   1055
-48,    -65,   1055
-16,    -65,   1071
16,    -96,   1071
48,    -96,   1071
32,    -80,   1055
32,    -48,   1039
32,    -48,   1039
32,    -48,   1055
32,    -64,   1087
0,    -80,   1087
16,    -80,   1071
32,    -96,   1055
48,    -80,   1055
48,    -64,   1055
32,    -64,   1055
32,    -64,   1055
16,    -80,   1055
16,    -80,   1055
0,    -80,   1071
16,    -80,   1071
16,    -80,   1071
16,    -80,   1055
16,    -96,   1055
16,    -96,   1055
16,    -96,   1055
16,    -96,   1055
0,   -112,   1055
0,   -112,   1055
0,    -96,   1055
16,    -96,   1055
48,   -112,   1055
64,    -96,   1055
16,    -80,   1055
16,    -64,   1055
16,    -80,   1055
16,    -64,   1071
16,    -64,   1055
32,    -48,   1055
32,    -48,   1055
16,    -48,   1055
0,    -48,   1055
0,    -64,   1071
16,    -80,   1087
32,    -80,   1087
48,    -80,   1055
64,    -80,   1023
64,    -64,   1039
32,    -64,   1039
16,    -64,   1055
0,    -80,   1071
-16,    -65,   1071
-16,    -65,   1071
0,    -64,   1071
16,    -64,   1071
32,    -64,   1071
48,    -48,   1055
32,    -48,   1055
16,    -48,   1039
-16,    -33,   1023
-32,    -65,   1055
-32,    -97,   1071
-16,   -113,   1087
16,   -128,   1071
48,   -112,   1055
80,    -80,   1039
64,    -64,   1055
48,    -48,   1039
48,    -64,   1039
32,    -48,   1055
32,    -64,   1055
32,    -64,   1071
16,    -64,   1071
16,    -64,   1071
32,    -64,   1071
32,    -64,   1055
16,    -80,   1055
-16,    -49,   1039
-32,    -49,   1039
-48,    -65,   1055
-32,    -81,   1087
0,   -112,   1087
32,   -112,   1055
48,    -96,   1055
48,    -80,   1055
32,    -64,   1071
32,    -64,   1071
32,    -64,   1071
16,    -64,   1055
32,    -64,   1055
32,    -64,   1039
48,    -80,   1039
32,    -64,   1071
16,    -64,   1071
16,    -48,   1055
16,    -32,   1055
0,    -32,   1055
0,    -48,   1071
16,    -64,   1071
32,    -80,   1071
48,    -80,   1071
48,    -96,   1071
48,    -96,   1055
16,    -64,   1039
0,    -48,   1039
0,    -64,   1039
0,    -64,   1055
16,    -80,   1071
16,    -80,   1087
16,    -64,   1087
0,    -48,   1055
0,    -48,   1039
16,    -48,   1039
16,    -64,   1055
16,    -64,   1071
16,    -80,   1055
0,    -96,   1087
0,    -80,   1071
16,    -80,   1039
16,    -64,   1039
16,    -64,   1055
32,    -64,   1071
32,    -80,   1071
32,    -80,   1071
32,    -80,   1055
32,    -80,   1039
16,    -96,   1055
16,    -96,   1055
16,    -96,   1055
0,    -80,   1055
0,    -80,   1055
0,    -80,   1055
0,    -80,   1071
0,    -80,   1071
32,    -96,   1071
64,    -96,   1071
48,    -64,   1055
32,    -64,   1039
32,    -64,   1055
32,    -80,   1071
32,    -80,   1071
32,    -64,   1055
32,    -64,   1055
16,    -48,   1055
32,    -48,   1039
32,    -64,   1055
16,    -64,   1055
-16,    -49,   1071
-16,    -49,   1071
0,    -80,   1071
48,    -80,   1071
80,    -80,   1055
80,    -64,   1055
48,    -48,   1039
16,    -48,   1055
0,    -64,   1055
0,    -80,   1055
16,    -80,   1071
32,    -64,   1071
48,    -64,   1071
48,    -64,   1071
32,    -48,   1055
16,    -48,   1039
0,    -48,   1039
0,    -64,   1055
0,    -96,   1071
0,   -112,   1087
0,   -112,   1071
32,    -96,   1039
48,    -96,   1023
48,    -96,   1039
32,    -96,   1071
32,    -80,   1087
16,    -80,   1087
32,    -64,   1055
32,    -64,   1039
32,    -64,   1039
32,    -80,   1071
32,    -80,   1071
16,    -80,   1055
