-16,    -65,   1087
0,    -96,   1119
16,    -96,   1087
64,    -96,   1055
96,    -80,   1039
64,    -64,   1039
48,    -48,   1039
32,    -48,   1055
0,    -64,   1071
0,    -80,   1087
0,    -80,   1087
16,    -64,   1071
32,    -64,   1039
32,    -64,   1023
16,    -48,   1039
0,    -48,   1055
0,    -48,   1071
0,    -48,   1071
16,    -64,   1039
32,    -64,   1039
32,    -64,   1071
32,    -48,   1103
48,    -32,   1087
48,    -16,   1071
32,    -16,   1023
16,    -16,   1007
16,    -48,   1007
-16,    -49,   1071
-48,    -49,   1119
-32,    -49,   1119
-16,    -33,   1087
-16,    -17,   1039
0,    -16,   1007
-16,     -1,   1023
-16,    -17,   1055
0,    -64,   1087
0,    -80,   1103
0,    -80,   1087
16,    -64,   1055
48,    -64,   1039
48,    -48,   1039
32,    -48,   1039
16,    -48,   1039
16,    -32,   1071
16,    -48,   1087
16,    -32,   1087
16,    -32,   1055
0,    -16,   1055
-16,     -1,   1039
-16,     -1,   1055
-16,    -17,   1039
16,    -48,   1039
32,    -80,   1055
32,    -96,   1087
16,   -112,   1103
0,    -96,   1103
32,    -80,   1055
48,    -64,   1055
32,    -64,   1055
32,    -64,   1055
16,    -64,   1039
16,    -64,   1039
0,    -48,   1071
0,    -48,   1071
0,    -64,   1071
0,    -48,   1071
0,    -48,   1055
16,    -64,   1055
0,    -80,   1039
-16,    -65,   1039
-16,    -65,   1055
-16,    -81,   1071
16,    -80,   1087
16,    -80,   1103
16,    -64,   1087
16,    -48,   1039
16,    -48,   1023
32,    -64,   1055
32,    -80,   1071
32,    -64,   1087
16,    -32,   1071
0,    -16,   1055
0,      0,   1024
0,    -16,   1039
0,    -64,   1039
0,    -96,   1071
16,    -96,   1103
32,    -80,   1087
48,    -80,   1055
32,    -64,   1055
32,    -48,   1039
16,    -48,   1055
16,    -48,   1055
0,    -64,   1071
32,    -80,   1055
32,    -80,   1071
32,    -80,   1055
16,    -80,   1055
0,    -64,   1039
-16,    -49,   1039
0,    -64,   1039
0,    -64,   1055
0,    -64,   1055
-16,    -65,   1071
0,    -96,   1103
48,    -96,   1135
48,    -96,   1103
48,    -80,   1039
48,    -64,   1007
32,    -32,   1007
48,    -32,   1039
48,    -32,   1055
48,    -48,   1071
16,    -32,   1071
16,    -32,   1071
0,    -48,   1055
0,    -48,   1071
0,    -64,   1071
16,    -64,   1039
16,    -32,   1023
0,    -16,   1023
16,    -16,   1055
16,    -32,   1087
48,    -32,   1103
64,    -32,   1087
64,    -32,   1087
80,    -16,   1071
64,    -16,   1039
64,      0,   1008
48,    -16,   1039
32,    -32,   1023
32,    -48,   1039
16,    -64,   1071
32,    -64,   1103
48,    -96,   1087
32,    -80,   1071
32,    -64,   1039
16,    -48,   1023
16,    -48,   1055
16,    -48,   1087
16,    -64,   1087
48,    -80,   1071
64,    -96,   1071
80,    -80,   1071
64,    -48,   1071
64,    -32,   1071
48,    -16,   1055
48,    -32,   1039
32,    -48,   1055
32,    -64,   1071
32,    -64,   1071
32,    -64,   1055
32,    -64,   1039
16,    -64,   1039
16,    -64,   1055
32,    -64,   1071
32,    -80,   1071
48,    -96,   1071
48,   -112,   1055
64,   -112,   1039
80,   -128,   1039
80,   -112,   1039
80,    -96,   1039
48,    -64,   1039
16,    -64,   1055
16,    -80,   1087
32,    -80,   1103
32,    -80,   1087
32,    -64,   1055
32,    -48,   1039
32,    -32,   1039
32,    -32,   1039
32,    -32,   1071
16,    -32,   1071
0,    -48,   1071
16,    -64,   1055
32,    -96,   1055
48,   -112,   1071
64,    -96,   1071
48,    -80,   1055
48,    -64,   1039
32,    -64,   1039
16,    -80,   1055
16,    -80,   1087
16,    -96,   1055
32,    -80,   1055
48,    -64,   1055
64,    -32,   1071
48,    -32,   1055
32,    -32,   1039
0,    -48,   1039
0,    -80,   1055
-16,    -81,   1071
0,   -112,   1071
16,   -112,   1071
16,    -80,   1055
16,    -48,   1023
16,    -32,   1023
16,    -48,   1023
16,    -48,   1055
0,    -64,   1087
16,    -64,   1087
0,    -64,   1087
-48,    -17,   1087
-64,     -1,   1087
-32,    -17,   1055
0,    -48,   1007
32,    -64,   1023
32,    -64,   1055
16,    -64,   1087
0,    -64,   1103
0,    -48,   1087
16,    -32,   1071
16,    -16,   1055
16,      0,   1024
16,    -16,   1023
0,    -16,   1055
0,    -32,   1087
0,    -48,   1071
0,    -64,   1055
0,    -48,   1055
-16,    -17,   1071
-32,    -17,   1055
-32,     -1,   1039
-32,    -17,   1039
-32,    -49,   1039
-32,    -65,   1071
-32,    -81,   1087
0,    -96,   1103
0,    -64,   1087
0,    -48,   1055
0,    -32,   1039
0,    -32,   1055
0,    -32,   1071
-16,    -33,   1071
16,    -80,   1055
48,   -112,   1039
32,   -112,   1039
32,   -112,   1055
32,    -96,   1055
0,    -64,   1055
-48,    -33,   1055
-64,    -65,   1071
-48,    -97,   1071
-16,   -113,   1071
32,   -128,   1039
32,   -128,   1039
16,    -96,   1039
0,    -96,   1007
-16,    -81,    991
0,   -128,   1023
0,   -144,   1071
0,   -128,   1103
-16,   -113,   1103
-16,    -97,   1071
-16,    -81,   1039
-32,    -65,   1023
-16,    -33,   1007
-16,    -33,   1055
0,    -32,   1119
0,    -32,   1119
0,    -16,   1103
16,    -16,   1071
48,    -16,   1023
48,    -16,   1023
32,    -16,   1023
16,    -16,   1055
0,    -32,   1071
0,    -32,   1087
0,    -48,   1087
16,    -32,   1071
16,    -32,   1055
0,    -16,   1039
0,    -16,   1039
0,      0,   1040
0,    -16,   1055
0,    -32,   1055
0,    -32,   1087
0,    -32,   1087
16,    -48,   1071
32,    -48,   1055
48,    -32,   1055
64,    -16,   1039
48,    -16,   1039
16,    -32,   1055
-16,    -17,   1071
-16,    -33,   1071
0,    -48,   1055
0,    -32,   1071
-16,    -17,   1071
0,    -16,   1055
0,    -16,   1055
0,    -32,   1039
-16,    -33,   1055
-16,    -49,   1071
-16,    -49,   1087
0,    -64,   1071
16,    -80,   1055
32,    -64,   1055
32,    -48,   1055
32,    -48,   1039
32,    -48,   1039
16,    -48,   1039
16,    -48,   1055
16,    -48,   1071
32,    -48,   1087
32,    -48,   1071
16,    -32,   1055
16,    -16,   1039
16,    -16,   1023
0,    -32,   1039
-16,    -17,   1071
-16,    -33,   1103
16,    -64,   1087
48,    -80,   1071
64,    -48,   1055
64,    -32,   1039
32,    -16,   1039
16,    -32,   1055
0,    -48,   1071
16,    -48,   1055
32,    -48,   1071
48,    -32,   1071
32,    -32,   1055
16,    -16,   1039
0,      0,   1040
0,    -16,   1055
0,    -16,   1039
0,    -32,   1071
0,    -32,   1103
16,    -48,   1103
16,    -48,   1071
32,    -48,   1055
32,    -32,   1039
16,    -32,   1055
16,    -48,   1039
0,    -64,   1055
0,    -80,   1071
0,    -64,   1071
16,    -64,   1055
16,    -48,   1071
16,    -32,   1055
0,    -32,   1039
0,    -32,   1055
-16,    -17,   1055
-16,    -49,   1071
-32,    -49,   1103
0,    -80,   1087
32,    -80,   1071
48,    -64,   1055
32,    -48,   1039
16,    -48,   1039
0,    -64,   1055
0,    -80,   1055
16,    -80,   1071
32,    -80,   1071
48,    -64,   1055
32,    -64,   1055
16,    -48,   1039
0,    -32,   1039
-16,    -33,   1055
-16,    -49,   1087
-16,    -65,   1103
16,    -96,   1087
32,    -96,   1055
64,    -96,   1055
64,    -80,   1055
48,    -64,   1039
32,    -80,   1055
16,    -80,   1055
16,    -96,   1071
16,    -96,   1071
32,    -96,   1055
48,    -80,   1055
32,    -64,   1039
16,    -48,   1039
16,    -48,   1039
-16,    -33,   1055
-32,    -65,   1087
-48,    -65,   1119
-16,    -65,   1071
16,    -80,   1039
48,    -80,   1055
64,    -64,   1055
48,    -64,   1055
16,    -64,   1055
0,    -80,   1055
0,    -64,   1055
0,    -80,   1071
16,    -80,   1071
32,    -64,   1071
32,    -48,   1055
16,    -48,   1039
0,    -64,   1039
-16,    -49,   1055
-32,    -65,   1071
-16,    -81,   1087
-16,    -81,   1103
16,    -80,   1071
48,    -80,   1055
64,    -80,   1039
48,    -80,   1023
32,    -80,   1039
16,    -96,   1055
0,   -112,   1071
0,   -128,   1071
0,   -112,   1071
16,   -112,   1055
48,    -96,   1039
48,    -80,   1023
32,    -64,   1023
0,    -64,   1039
16,    -80,   1055
16,    -96,   1055
16,   -112,   1087
16,    -80,   1103
32,    -80,   1087
64,    -96,   1055
80,    -80,   1039
64,    -80,   1039
32,    -64,   1039
16,    -80,   1055
0,    -80,   1071
0,    -96,   1071
0,    -96,   1071
0,    -96,   1071
0,    -80,   1055
0,    -48,   1039
0,    -48,   1039
16,    -64,   1055
16,    -64,   1071
-16,    -65,   1087
-16,    -65,   1071
0,    -96,   1071
48,    -96,   1071
64,    -80,   1055
48,    -80,   1039
32,    -64,   1055
16,    -64,   1055
16,    -80,   1055
0,    -80,   1055
16,    -80,   1055
32,    -80,   1055
32,    -64,   1071
16,    -48,   1055
16,    -48,   1039
0,    -48,   1039
0,    -64,   1055
0,    -80,   1087
16,    -96,   1103
32,    -96,   1087
64,    -96,   1055
64,    -96,   1039
64,    -80,   1039
32,    -80,   1039
32,    -96,   1055
0,    -96,   1071
0,   -112,   1071
16,    -96,   1071
32,    -96,   1055
64,    -96,   1055
64,    -80,   1039
48,    -64,   1039
16,    -64,   1039
0,    -64,   1055
-16,    -81,   1071
-16,    -97,   1087
0,   -112,   1103
32,   -112,   1071
80,    -96,   1039
96,    -80,   1055
80,    -64,   1039
48,    -64,   1039
16,    -80,   1023
0,    -80,   1055
-16,    -65,   1087
16,    -80,   1087
32,    -64,   1071
48,    -64,   1055
48,    -64,   1039
48,    -48,   1039
32,    -32,   1023
16,    -48,   1055
0,    -64,   1087
0,    -80,   1119
32,    -80,   1103
64,    -64,   1055
80,    -64,   1039
64,    -48,   1039
32,    -48,   1039
32,    -64,   1071
32,    -80,   1087
48,    -96,   1071
48,    -80,   1055
32,    -80,   1071
16,    -64,   1055
0,    -64,   1039
0,    -80,   1055
0,    -80,   1055
0,    -80,   1055
0,    -96,   1087
16,    -96,   1103
48,    -96,   1071
80,    -96,   1039
80,    -80,   1039
48,    -64,   1039
32,    -80,   1039
48,    -96,   1055
48,    -96,   1071
64,   -112,   1055
48,    -96,   1055
48,    -80,   1039
48,    -80,   1055
32,    -80,   1039
32,    -80,   1055
16,    -80,   1055
0,    -96,   1071
16,    -96,   1087
48,    -96,   1071
48,    -80,   1055
48,    -64,   1055
48,    -80,   1055
48,    -80,   1055
32,    -80,   1055
16,    -80,   1055
0,    -80,   1055
16,    -80,   1055
32,    -96,   1071
32,    -96,   1071
48,    -96,   1071
48,    -96,   1055
32,    -64,   1055
0,    -64,   1055
-16,    -49,   1055
0,    -80,   1071
32,   -112,   1087
64,   -128,   1071
80,   -112,   1071
80,    -96,   1039
64,    -80,   1039
48,    -96,   1039
48,   -112,   1039
48,   -112,   1055
48,   -128,   1071
48,   -128,   1071
48,   -128,   1055
32,    -96,   1055
0,    -80,   1039
16,   -112,   1007
0,   -128,   1023
16,   -160,   1055
16,   -160,   1103
16,   -144,   1087
64,   -144,   1039
64,   -112,   1007
48,    -96,   1023
32,    -96,   1055
32,    -96,   1071
16,   -112,   1071
16,    -96,   1071
32,    -96,   1055
48,    -80,   1055
32,    -64,   1055
32,    -64,   1023
16,    -64,   1023
16,    -80,   1039
0,    -96,   1071
0,    -96,   1119
16,   -112,   1119
32,    -96,   1087
64,    -96,   1055
80,    -64,   1039
64,    -48,   1023
48,    -48,   1023
32,    -64,   1039
16,    -96,   1071
16,    -96,   1087
16,    -96,   1087
16,    -80,   1071
0,    -64,   1039
16,    -64,   1023
16,    -80,   1039
16,    -96,   1055
16,   -112,   1071
